handle,contest_count,max_rating,friends_count,problem_count,rating
mython1,17,1601,39,167,1601
arpit040199,78,1599,43,765,1599
Abhijith190300,18,1596,17,146,1596
IITGourav17,38,1594,59,241,1594
bLackFlasH_7,27,1594,59,214,1594
praby,40,1593,46,234,1593
Ashwathama,19,1746,23,108,1585
SimplyOm,3,1585,16,10,1585
ganesh_gaitonde,1,1583,10,23,1583
Devani_OO7,16,1658,49,142,1575
VIKASPATIDAR,24,1572,27,325,1572
_blitzkrieg,53,1690,46,161,1563
codemaster24,17,1563,35,139,1563
kk3799,21,1582,46,53,1555
JAYPEE,8,1551,38,57,1551
badbuoy,58,1756,70,214,1551
revpro,31,1638,43,198,1547
algomatrix,49,1609,53,215,1542
anurag708,14,1542,68,160,1542
vaibhav711,22,1631,10,540,1540
Coding_genius,20,1638,53,63,1538
Lazypants,8,1536,12,165,1536
shubham_001,27,1557,31,72,1534
saihemanth,6,1532,13,25,1532
mnciitbhu,20,1583,34,362,1531
NishantAryaKumawat,96,1759,123,798,1526
two_stacks,2,1526,4,6,1526
harshit2997,22,1609,56,165,1525
HARRYoo7,59,1564,61,552,1523
hellojarvis,39,1656,57,361,1509
shaad_ali,7,1570,34,139,1508
ultimate_muscle,14,1505,10,95,1505
hmishra,22,1551,51,56,1502
AKS1996,2,1500,7,73,1500
TheBlaDe,30,1503,37,272,1495
Harirai,1,1493,14,59,1493
Sayam,16,1571,25,105,1493
ani_anand,14,1492,64,436,1492
Vishal_Kumar9,19,1688,37,160,1491
pb_messi,2,1511,30,7,1488
abhishek0318,17,1559,49,225,1481
yy2ss,1,1479,8,240,1479
dark_matter98,1,1478,1,2,1478
chandan5284,33,1482,32,224,1477
ace201m,50,1516,41,314,1473
pranavgoel96,5,1469,18,13,1469
RZ0895,8,1511,11,65,1467
keshavnandan,22,1549,10,39,1462
kjolly,8,1482,15,95,1461
_you_tee_,21,1536,40,123,1460
mayank_tyagi,45,1526,62,283,1459
gizmo17,10,1530,3,40,1454
prateek1985,22,1479,6,158,1452
Shrey97,23,1487,50,215,1450
ganesh17,22,1476,24,349,1448
saurabhchauhan_cse16,11,1446,18,39,1446
singhrajat,15,1501,10,107,1445
kalepg45,43,1677,28,561,1442
raven_47,9,1438,4,30,1438
prabhjyot.singh.min16,1,1434,1,1,1434
mj_15,6,1483,8,50,1433
shreyansh,1,1430,12,39,1430
umangjain5000,22,1538,24,200,1426
Phanideep,28,1438,37,95,1425
satyajit97,43,1731,49,157,1421
beowulf2823,4,1477,3,14,1419
nishant1000,12,1487,9,81,1417
piyushiitv,36,1624,28,141,1416
sanket_11,3,1452,2,21,1415
ssn,1,1412,13,61,1412
shreyas_21,22,1566,7,64,1409
uddeshya2257,2,1413,3,14,1408
manuag,6,1412,26,132,1407
Saurabh303,23,1454,51,260,1406
pavanmggp,1,1406,3,7,1406
y_malik,5,1413,9,68,1405
nishantwrp,4,1402,21,162,1402
praneethcoder,1,1402,1,3,1402
piyushmaurya,7,1539,10,28,1401
eternallearner,1,1399,2,19,1399
__SemiColon__,4,1407,14,10,1398
revanth000,1,1398,3,192,1398
zigyasu,16,1458,3,25,1398
kunal.agarwal67,21,1532,41,160,1397
sans21,22,1482,43,124,1396
akj_j,19,1509,2,104,1395
prem_1011,1,1391,1,13,1391
psn99,6,1467,6,60,1386
bhavyapruthi,16,1470,13,31,1384
himanshu280,8,1424,18,132,1384
hvardhansingh,1,1382,1,140,1382
kalpesh_goyal,5,1471,8,33,1382
Pranshu54,9,1472,8,47,1378
codef09,1,1376,2,2,1376
vineethtatipatri19,16,1434,14,271,1371
Ankit007,2,1498,9,35,1369
usrbom,10,1424,6,43,1365
sarpit23,8,1491,5,83,1362
kautilyakatiha10,9,1519,4,25,1350
Apurv1998,2,1431,1,62,1348
niket.khandelwal,19,1501,47,76,1345
dex_10,18,1391,24,144,1342
Dynamic_Dyanesh,11,1475,9,18,1339
shubham201,11,1517,15,81,1339
gaurav.iit.cse,2,1411,19,4,1334
covalent_bond,11,1420,27,97,1330
abhijeetiitv15,5,1493,29,23,1329
neharao9,2,1412,14,112,1326
Fragg3R,7,1427,30,65,1325
ashishkr23438,14,1431,5,117,1325
The_D,4,1411,7,146,1324
mayankrungta7,2,1380,33,50,1322
rishabhach,12,1378,6,88,1322
swat_cf,2,1411,14,67,1319
gms245,24,1413,22,115,1318
kgahlot_0805,2,1382,9,84,1316
dmohanty,2,1378,3,82,1302
Malik99,2,1412,5,86,1301
jackmiester777,7,1433,23,82,1301
CodeBreaker_6,27,1506,34,171,1300
Ravish,4,1414,1,3,1299
ayushi_sneha,25,1410,53,266,1295
himanshu-mittal,5,1424,9,29,1295
bruce.wayne,3,1433,8,111,1294
beowulf,13,1473,6,165,1293
AMIT_SOLANKI,17,1409,20,201,1292
_mtg98,19,1410,11,221,1285
dracaris123,7,1400,9,114,1284
pic_s_43,4,1413,3,90,1283
NishantMishra21,3,1447,13,53,1278
morgo,8,1508,4,33,1278
shubhamk_ojha,2,1374,0,35,1276
aditya28_221b,4,1391,6,208,1275
kartik_anand,22,1507,22,210,1273
deep2696,14,1425,26,163,1272
gaurav_garg,4,1397,2,4,1272
Bittu_09,5,1438,3,20,1263
mastermind2112,15,1403,7,68,1260
pedrick_97,3,1420,4,5,1258
smart_coder_rj,21,1481,16,54,1251
KrishnaTejaVemuri,4,1445,15,24,1246
subhamiit15,41,1388,29,190,1245
anurag0830,4,1380,4,52,1244
madslayer,15,1439,6,97,1239
IAMXLR8,28,1378,32,180,1235
forever_newbie,57,1484,55,371,1234
smart9178,13,1414,10,51,1224
divyansh31,12,1433,22,102,1219
vipul.maloo0412,11,1397,6,34,1218
sumitsaraff5482,3,1374,0,15,1216
inficreator,19,1376,8,144,1209
d7413,21,1463,37,101,1203
nagasaisujan160998,45,1408,18,529,1203
utk21sept,16,1430,2,38,1203
abhstabs,4,1436,11,137,1197
thesimple_codr,17,1371,17,63,1196
deps2code,5,1414,14,89,1194
AMIT9019,8,1377,2,48,1191
Virtualleader,10,1383,3,142,1191
lazy_asHELL,3,1370,5,2,1188
ketankr9,5,1445,7,26,1187
aashu886,4,1394,1,4,1186
pulkit47,10,1374,3,31,1176
sirius_anv_black,12,1451,6,41,1159
ankit.k.s,13,1385,9,81,1158
dragneel_1,7,1374,4,43,1157
humble_discipulus,5,1370,2,101,1157
utkcpp,8,1412,14,123,1157
prince9,31,1422,9,119,1153
THEcodingGHOUL,5,1425,21,25,1142
modanwalakash,12,1378,7,109,1142
patwari26,13,1400,32,94,1139
hitagg008,21,1426,17,206,1127
Meena420,8,1370,20,128,1123
nucleus_,8,1407,20,40,1106
shubhpy,10,1406,4,73,1091
chandu_tau,15,1380,12,80,1084
ar_11,11,1415,10,28,1070
kunalcoder,15,1484,2,43,1067
sonukr.mourya.ece15,14,1396,11,38,1059
Hritika27,14,1396,7,111,1057
dhruva0206,18,1384,14,94,1007
pks_97,10,1404,6,78,988
sushant23y,16,1379,1,14,982
arron_tij,9,1418,1,48,957
akulsareen,67,2437,1065,435,2236
bk2dcradle,43,2187,305,643,2136
MiteshAgrawal,72,2098,150,527,2098
rick_c137,33,2071,81,612,2071
StoneCold_,72,2098,214,379,2011
de_inferno,43,1930,130,256,1930
DarkStar,26,1974,56,286,1912
arjundabra,48,2072,166,521,1911
SarvagyaAgarwal,70,1987,366,1100,1898
jaskamalkainth,14,1834,109,356,1783
ujzwt4it,107,2024,108,704,1754
girish347,53,1914,38,213,1731
adityapande,16,1719,26,40,1719
romzee,20,1743,18,56,1713
grebnesieh,20,1861,61,56,1703
pranavr93,17,1701,37,134,1701
eku,15,1771,64,147,1698
viralm,16,1703,61,265,1682
chinmay_sd,90,1760,54,568,1680
karanbatra,36,1721,38,501,1673
takumi,16,1672,16,260,1672
vivekmufc,89,1864,80,407,1672
kevin.sebastian,24,1661,24,143,1661
sourabh136,30,1678,35,166,1657
John_Titor,21,1660,12,187,1654
redoc,26,1727,22,70,1649
mindBlasting,15,1642,5,27,1642
HalfBloodPrince,36,1651,10,223,1639
neige,12,1709,3,30,1632
kshitijgupta,53,1621,20,309,1621
kshitij1114,46,1681,23,286,1614
nishantarora,3,1614,14,453,1614
akshit_1996,76,1847,86,498,1604
kushwaha_vi,83,1768,25,407,1602
tejasharne,22,1601,11,52,1601
ABHISHEK019,53,1739,21,234,1598
rtheman,95,1870,155,444,1598
name_htr,7,1725,17,21,1593
vb30,21,1722,19,312,1591
Inactivated,81,1607,52,537,1585
hyades,21,1599,13,88,1583
dhawalht,4,1556,9,152,1556
a7_bits,7,1546,3,111,1546
KadiyalaSaiManoj,8,1542,13,134,1542
namanjain2707,10,1536,6,63,1536
master_of_none,31,1651,43,351,1524
ketan582,20,1575,13,72,1522
memezAreDreamz,29,1628,10,150,1522
colorblind,26,1933,33,79,1519
n_tR0,1,1512,2,24,1512
gsvnanoop,10,1530,17,245,1505
LiteYagami__,15,1619,12,103,1502
errorcode15,5,1518,9,9,1498
vikramw,7,1493,4,40,1493
lazyBit,46,1681,9,148,1483
root_97,1,1481,3,56,1481
deepakg92,9,1581,11,21,1460
bd95,1,1452,0,3,1452
aman3847,19,1485,10,138,1450
pranitshah,16,1647,4,45,1450
beast411,19,1449,4,106,1449
the_sage,24,1442,19,308,1442
komi,8,1463,11,154,1425
Karan_Avasthi,2,1467,4,40,1423
coder_aang_,1,1419,6,29,1419
anchalgupta,2,1418,4,11,1418
v_geta,86,1566,35,481,1418
vibhavoswal,33,1550,28,160,1413
IzzyB0y,1,1404,0,4,1404
gauravb7090,3,1573,8,37,1404
purav_95,12,1588,6,26,1402
diveshuttam,14,1534,21,51,1398
manujvashist,11,1397,17,28,1397
krunal,31,1499,30,319,1396
f2016941,1,1390,0,14,1390
aronip,40,1688,17,133,1389
f2015332,16,1404,6,85,1373
teknas1000,21,1380,8,73,1368
the_beauty,3,1428,11,42,1367
naveen_u,5,1468,7,159,1357
kukreja-vlk,18,1456,10,116,1343
SnShines0507,17,1740,18,72,1329
rishabh_4397,5,1425,4,130,1327
himanshubhardwaj169,44,1634,8,232,1318
dhruvesh,2,1403,2,1,1316
Game_Face,4,1441,3,26,1315
GuruSHR,2,1406,4,29,1310
Pinkshirt,19,1407,3,45,1303
nalinpm,5,1405,3,60,1291
WarpSpeed,6,1404,5,240,1280
shubhamgupta1404,6,1581,4,9,1271
rishabhjoshi,15,1567,40,57,1262
CATIGERN,8,1448,1,31,1255
critikal,8,1446,5,46,1249
RohanDudeja,2,1367,2,17,1247
kunalkumar050894,9,1392,1,407,1230
badCoder7,16,1441,5,79,1226
ksdthegr8,16,1428,6,47,1210
aviral1117,6,1444,4,22,1207
rdsm,3,1375,4,3,1204
jaspreet_10,4,1434,12,16,1185
yajatdawar,14,1449,5,35,1181
b.isaacabhishekmj,7,1392,14,227,1122
bajwanischay,6,1394,6,23,1082
jj98,6,1375,1,43,1025
VastoLorde95,60,2228,643,1040,2215
simrandokania,13,1814,203,618,1814
shyamkb,33,1931,106,606,1797
varadadesikan1,52,1797,53,425,1797
satu0king,11,1771,22,120,1720
toxic_hack,17,1707,33,513,1707
mahi.mahidhar2,19,1686,26,465,1686
skirmish,5,1682,7,37,1682
geek_geek,90,1839,74,449,1644
nimishagarg_ng,20,1698,43,414,1636
Mindjolt,27,1649,40,297,1624
Heisenberg4269,19,1611,31,478,1611
sonalgarg828,15,1706,32,519,1557
keh_ke_lunga,2,1531,10,4,1531
werewolf97,19,1479,16,216,1478
welovehash_tables,1,1464,1,2,1464
bis007,1,1463,13,30,1463
whysoseriousnaaa,12,1444,11,43,1444
pratik_shastri,1,1433,5,10,1433
kashyap_archit,6,1449,16,448,1431
shivama7,1,1423,1,23,1423
abhinav.chawla,15,1452,9,109,1420
deep-guy,1,1417,4,12,1417
Manonmaie,1,1412,5,18,1412
nishant.neo,1,1402,1,23,1402
shuvambosana0705,2,1411,0,29,1401
H_a_c_k,1,1397,0,5,1397
Ashlin,12,1427,16,464,1391
aditya305,1,1382,1,17,1382
adishegde,14,1503,20,155,1377
nithinr07,1,1377,6,1,1377
indian_ocean7,1,1372,3,57,1372
gayabprani,1,1369,0,2,1369
aditya_thiru1,2,1430,1,18,1363
gourav_j,26,1472,10,123,1356
pranavkedia11,3,1433,2,8,1345
1.00E+13,2,1375,7,93,1339
daantegoty,2,1391,3,6,1334
thirsty_crow,3,1448,7,56,1333
hp.Code_Forces,3,1446,0,3,1311
falcon2212,10,1414,5,150,1309
prateksha_u,2,1423,12,31,1300
ravikiran2402,3,1414,2,48,1295
brahmakulkarni,2,1377,10,51,1281
ssm98,2,1394,7,100,1277
OneZero,9,1409,3,28,1275
kulkarni.rachit,5,1417,2,202,1274
_-_-_-,4,1432,4,63,1268
TheKeyserSoze,3,1384,4,15,1234
tiwari.mk2011,6,1436,1,18,1229
blank000,4,1418,0,4,1218
blastoidamazing,3,1372,1,5,1186
shub9dec,6,1427,14,143,1183
wompowe_redefined,13,1439,10,163,1176
pvk16,4,1391,1,14,1174
ronak66,8,1410,12,88,1163
crunchbang_,4,1395,3,29,1147
Byte-Rider,19,1417,5,210,1138
abhinav1592,26,1415,3,30,1035
Jeel_Vaishnav,71,2204,452,570,2202
spar5h,46,1951,121,401,1942
sanketmakani,65,1943,155,417,1923
Harshad,103,1884,76,1103,1708
silversnitch,19,1684,40,152,1660
Psp_98,57,1688,85,326,1657
Jaimin_Patel,8,1651,33,381,1651
poojan07,18,1647,46,221,1647
kal_kisne_dekha,24,1669,23,76,1645
Yash_23,23,1764,68,145,1627
jaydutt_patel,15,1667,36,295,1619
Nirav_96,38,1607,57,285,1607
yash.jain,48,1619,26,232,1592
jay_joshi,11,1554,10,105,1554
rutwik2808,20,1556,18,111,1535
pablo11,33,1570,41,231,1499
harshpatel,17,1490,12,91,1490
murtaza2102,18,1555,29,111,1488
hetpandya98,27,1486,13,243,1486
karanjobanputra,20,1514,24,202,1477
raj0711,15,1614,24,504,1475
harshlunagariya2000,19,1478,22,92,1471
Thacker,35,1566,44,126,1464
thir,42,1504,29,171,1450
as_001,28,1455,8,98,1445
md1096,26,1530,13,51,1433
khushboo97,1,1427,6,5,1427
rajat188,19,1497,16,85,1425
nova9,1,1423,2,2,1423
fenil1810,3,1475,14,302,1420
Sanjay_14BIT009,17,1444,17,211,1410
nisarg222,3,1519,4,8,1409
pratik29,1,1402,5,2,1402
dhavalpatel290,4,1429,12,37,1386
KharYusuf,2,1391,1,14,1385
Jayu,40,1430,21,154,1351
hitesh.bothra,6,1461,13,223,1349
v_m,17,1389,17,43,1346
mlkptl35,3,1434,4,4,1341
fp123,4,1469,10,83,1338
swecode4,11,1432,10,56,1338
darshankdarji,41,1384,17,359,1333
Dhairya472,19,1424,14,50,1328
mufaddalnaya,3,1380,5,12,1309
d_rushabh,4,1412,2,8,1302
kaushal9898,14,1409,11,35,1302
hiren_oded,8,1431,13,71,1300
knightof1,3,1377,6,4,1271
rushabh120,2,1385,1,1,1271
pratik1997,3,1383,17,230,1264
DesaiNikunj,3,1401,6,23,1263
coderfoces,25,1442,30,155,1258
pyth0x,6,1384,4,39,1253
deepakjain,27,1501,26,72,1245
rajsheth23,34,1443,15,240,1240
joshi_jay,13,1445,13,83,1234
partheshsoni,5,1401,7,22,1230
manangandhi,14,1408,14,33,1220
gaurav12,3,1372,2,60,1204
vishvas,15,1384,7,37,1177
kt0107,10,1421,6,14,1176
tirthraj,4,1383,3,37,1176
akshay_vala,6,1390,7,21,1151
dbshah,16,1408,30,175,1137
Jk_vora,5,1401,0,12,1131
Mohit_N75,13,1375,10,123,1044
raj455,5,1373,3,50,1012
inflame,6,1401,4,25,963
tanmay_jain,11,1425,16,52,897
psquare,9,1396,13,312,888
Ashishgup,94,2259,1372,1611,2185
Mahir83,136,1996,361,787,1996
vThejas,60,1989,145,235,1989
Keyuuuu,47,1952,257,547,1916
GautamMishra,15,1814,37,45,1814
bhargav104,82,1869,147,643,1810
kunalbonucci,74,1873,187,473,1795
Addy007,100,1893,279,582,1794
lone_rider,29,1910,111,496,1769
legoBridge,42,1816,119,325,1723
Shhss..,43,1744,84,231,1717
code_1369,10,1716,15,61,1716
rahilmalhotra001,85,1799,143,1186,1710
jimmy18,74,1722,87,611,1681
quartz1,22,1671,55,409,1671
Rahil_ki_Alter_Ego,1,1663,9,4,1663
RG1997,4,1662,28,12,1662
anoopchandu,21,1774,25,87,1661
hit023,57,1651,51,465,1651
ankit0905,36,1669,86,359,1647
YashRaj,13,1702,56,90,1643
z3r0dmg,32,1820,99,409,1642
vijju123,33,1659,237,221,1641
IceElement,12,1639,50,216,1639
harshit601,62,1603,47,712,1603
PyAlpha,32,1592,93,296,1592
teej,34,1554,32,513,1554
Nikhil_Medam,38,1545,70,537,1543
trawiser,19,1580,29,254,1528
dds23899,6,1513,13,54,1513
c.rakesh27,32,1561,35,74,1506
mjain1994,1,1489,19,96,1489
prjwl132,37,1485,25,219,1485
Raghu150999,36,1534,35,245,1480
PraKhaRGoeNka,8,1477,35,184,1477
skyhavoc,1,1471,11,48,1471
vdatta,5,1455,4,49,1455
saisurya027,103,1742,112,1096,1454
tomar.ak,1,1450,2,6,1450
velly,17,1452,29,157,1446
__routine__,14,1443,29,125,1443
sky_high,1,1441,3,5,1441
amalad,4,1440,9,38,1440
KarMen,14,1579,35,76,1434
vivek034,11,1531,18,111,1433
khyati.agarwalss,45,1485,42,313,1431
ksharma377,22,1608,27,248,1426
nitishplus98,17,1426,18,50,1426
sac6120,11,1467,15,207,1426
sandesh.thakar,12,1584,28,92,1426
siddhant8897,1,1424,4,1,1424
yaduraj,1,1422,5,5,1422
dracarys30,65,1515,36,280,1418
vnkt,36,1649,27,312,1413
ak08,1,1410,4,184,1410
Phani458,1,1409,1,10,1409
__Sr__,2,1441,3,1,1409
v_superuser,2,1449,11,82,1407
getharshkumar,1,1405,10,25,1405
harshguy,3,1585,5,21,1404
gopeshkhandelwal1,3,1400,5,35,1400
uks,1,1398,9,9,1398
prat.bphc,4,1439,16,19,1397
flash1998,3,1447,6,11,1393
Kunal.h,13,1472,28,81,1391
yeshwanth,1,1389,6,14,1389
pulse97,10,1438,2,93,1387
ridbit10,14,1396,30,49,1387
Mehulagrawal,1,1386,8,12,1386
CSVHD,5,1417,7,41,1379
anak,15,1477,5,47,1379
Czar_,1,1378,3,30,1378
sesm149727,1,1377,1,19,1377
shortstheory,2,1412,7,22,1373
kn1ght,2,1413,28,29,1372
rockstar007,1,1371,0,4,1371
VaradK,1,1369,4,4,1369
rshri96,15,1418,17,45,1366
Mr.Lonely,2,1384,2,27,1365
hari22499,24,1453,27,140,1356
rahulladda,26,1486,19,128,1352
manitejanmt,4,1479,2,21,1347
cr7keyurjain,16,1540,73,281,1346
Bleziken,6,1541,6,24,1344
DesuSreeHarsha,33,1388,13,71,1339
memeboy9000,2,1403,4,11,1338
harshitgakhar201,13,1554,23,127,1335
dhruvil_11,16,1406,18,188,1332
basu_midas,3,1475,10,10,1327
ydsd97,2,1373,8,29,1327
anandravi,7,1525,5,16,1325
nik-12,12,1409,8,204,1319
SmartGuyCoder,2,1428,1,44,1312
19981999ab,3,1413,2,44,1311
mohit240,2,1430,8,6,1311
U_Will_Never_Walk_Alone,20,1440,14,156,1310
gj007,19,1369,12,72,1304
imprince_jain,2,1419,8,37,1300
ExplodingFreeze,10,1577,25,102,1298
cottonwool,2,1375,3,1,1297
Anish_ubuntu,13,1472,9,27,1291
tihcnas,2,1407,2,19,1289
CharanSSC123,2,1395,4,18,1287
Raj_rockster,2,1369,10,8,1287
alvinronnie,2,1397,3,2,1287
f20160099,2,1383,5,1,1286
ashank,30,1428,36,237,1282
sajithk2k,2,1380,8,8,1280
HimanshuSharma,3,1427,4,13,1278
above_you,20,1522,16,260,1278
tejsukhatme,3,1408,20,19,1276
archi97,44,1399,26,155,1275
aniruddh1999,17,1448,28,161,1274
samael042,2,1390,7,87,1274
Realife_Brahmin,16,1371,10,180,1270
nihaljainn,10,1440,32,69,1268
yaganti,10,1418,13,44,1264
Aakanksha296,6,1455,11,120,1263
bharadwaj_pro,3,1409,2,5,1248
Shichibukai,5,1449,18,50,1246
recursivenightmare,6,1467,6,71,1238
saarthakjain001,13,1375,13,123,1237
raja123458,11,1371,5,27,1232
sanjiv.shenoy,6,1476,16,24,1229
deepakgupta8777,5,1413,8,21,1226
adityachivu,21,1440,10,46,1218
pratik_549,13,1424,11,133,1218
sowmith_reddy,4,1413,2,3,1217
cahuja222,4,1393,5,195,1215
BharatR1997,10,1393,13,127,1214
Sj_Decode,7,1449,29,104,1201
arc_,14,1374,7,126,1200
LionelSurya,3,1412,2,17,1198
Enthu_Cutlet,4,1391,5,7,1196
amartya2969,20,1374,11,87,1191
nikhil_bphc,5,1433,6,6,1187
ColdRobot,25,1449,15,138,1186
Hitman571,7,1432,8,18,1182
kislay_kumar,11,1415,11,37,1174
chamanoor,9,1395,3,20,1172
IrisChrome,3,1383,6,2,1170
falcon_X,3,1377,14,24,1169
kklash,24,1403,37,100,1169
aartista,4,1445,6,11,1162
darshanprabhune3105,22,1458,8,178,1152
Eswar_123,12,1379,11,89,1146
eragon512,7,1448,14,46,1145
nikhilnilawar,12,1378,7,55,1145
murali_nba12,14,1423,11,389,1139
AkhilChilakala,16,1455,15,89,1134
machadianurag1996,5,1429,8,611,1133
shadowreaper810,8,1383,8,26,1126
malhanbharat,11,1369,15,117,1124
shuvham683bitsian,7,1413,4,7,1123
bhuvan9987,5,1380,3,99,1119
maurya007,14,1382,6,31,1119
radheshsarma2299,23,1367,26,182,1090
derrgh11,5,1369,6,24,1085
rick99y,5,1380,9,17,1084
aMinuteMan,5,1399,2,42,1077
hereisdx,9,1384,21,12,1074
rohith206,9,1376,5,56,1069
ekanshi,6,1366,14,18,1053
archishman916,13,1382,5,67,1052
arpansarangi,9,1374,10,9,1051
dhruv23899,18,1371,19,125,1018
sauravgupta97,12,1394,7,61,1017
vrs98,6,1382,11,32,1009
skk2298,5,1404,4,39,986
AGB39,11,1368,2,26,969
kaushik_p9,9,1375,12,163,965
Pratap09,14,1445,7,48,926
Equinox,29,2160,280,197,2160
scopeInfinity,50,2137,132,287,2137
chan_iitp,47,2009,97,187,1948
Gear4,35,2074,171,263,1866
eviebot,38,1884,65,279,1753
MJS1997,26,1775,20,211,1724
Nightmare05,22,1720,46,136,1720
FazleRahmanEjazi,63,1933,106,496,1699
boreddy,11,1687,16,127,1687
dev27,24,1717,31,222,1674
hackr32,3,1664,13,22,1664
nanobyte,26,1645,38,77,1624
_deepak_,24,1642,29,206,1597
rg99,22,1669,46,120,1589
NEXUS02,22,1582,12,61,1582
avi_karnik,31,1635,13,100,1573
Suga-R,40,1595,35,245,1562
aks_12345,18,1555,10,151,1555
ravik1,7,1566,21,69,1554
AsHes,23,1712,17,67,1549
Bleedpositive,22,1531,6,49,1529
rk957019,35,1523,11,132,1523
UNSEEN07,18,1506,32,242,1503
SilverScar,4,1496,14,186,1491
psycho999,1,1486,5,53,1486
SageEx,10,1558,15,58,1485
The_Wanderer,29,1484,27,215,1484
Taeven,11,1520,5,23,1482
intruder_p,24,1563,29,221,1481
agathodaemon,5,1486,20,113,1459
cc15,17,1645,23,70,1449
grb.avatar,1,1430,2,8,1430
potter1024,22,1430,11,268,1430
coderHJ,1,1426,7,44,1426
dhanush_sr,1,1425,6,22,1425
srv_twry,27,1420,30,226,1420
bhatchandan99,1,1414,9,59,1414
sahil99,18,1424,19,166,1398
yash_palriwal,2,1431,12,75,1398
4ced_koding,36,1396,31,181,1396
Gaur..Av,2,1415,1,6,1395
koshyari,1,1386,4,42,1386
prvn123,20,1573,7,53,1374
B_Ganesh_Reddy,10,1443,6,35,1373
NEXUS01,1,1372,13,182,1372
kushal10,4,1427,9,29,1356
aryadas98,4,1441,14,30,1351
dexty_007,5,1440,19,25,1336
AkJn,10,1453,26,131,1305
skandgupta02,9,1526,10,38,1296
_sinus,13,1404,5,60,1295
pi.codemonk,2,1403,8,43,1284
ashutoshmishra,11,1468,17,76,1283
love_san,4,1410,10,39,1275
silencecoder,5,1438,5,100,1275
naveen1998,7,1423,12,47,1271
shrish789,12,1452,20,222,1270
samraj2k,3,1414,8,84,1256
21piyush01,12,1378,4,108,1254
sherlock_17,12,1392,10,70,1241
god_of_speed,17,1385,10,161,1239
.MK7.,5,1406,14,21,1234
singhyogendra924,3,1404,3,9,1231
Skeladoom07,6,1391,3,84,1228
asutoshswainchintu,6,1414,15,133,1216
naveenchopra5,10,1378,8,164,1205
rrrohan,10,1374,13,138,1204
PRP,4,1382,9,31,1173
pk1601cs33,8,1425,11,39,1148
god1048,9,1407,10,46,1114
RayStainerZ,14,1378,12,109,1081
dashboard,11,1569,10,60,1033
Sathya_8697,6,1431,4,24,1022
defint33,13,1456,10,86,989
Anu1601,6,1390,11,42,951
murugappan_s,69,2192,172,921,2159
PrashantM,115,2314,489,723,2148
keshav,38,1994,89,513,1934
sdssudhu,60,1970,130,333,1916
Hemnath_D,51,1667,41,392,1662
Rooped,55,1784,85,323,1661
rrah97,85,1671,70,700,1626
#NAME?,24,1606,27,309,1606
msv99999,44,1635,35,220,1558
avibrat,65,1651,46,390,1497
vishalananth,28,1584,34,263,1491
Pro98,63,1520,37,239,1463
chamow,82,1568,57,659,1443
Khan_Ebis,1,1440,3,39,1440
swar.jain,1,1436,10,60,1436
arvind_m,83,1598,32,425,1410
v.adithyaganesan,1,1405,10,62,1405
Mvkzenith,1,1404,14,47,1404
harshavardhan98,1,1386,4,39,1386
aerosasi,1,1383,3,34,1383
swamiji7,1,1382,14,11,1382
srinath2309,2,1428,3,5,1360
97balakrishnan,18,1437,15,118,1332
boss_man,2,1418,11,83,1295
debadyuti,2,1387,6,42,1264
sundar10,12,1423,27,172,1260
senthilshravan,7,1449,4,100,1259
sivagamisn,6,1403,13,137,1249
AnirudhShenoy,4,1414,10,57,1242
satheesh2k14,16,1400,27,173,1242
kaushik15103,23,1382,8,148,1233
Ignoramus.Sapien,13,1426,7,101,1219
vazbloke,3,1406,14,11,1213
Aetius,6,1372,10,144,1205
RaghavN,60,1436,36,306,1201
karthik171998,38,1392,22,256,1197
sriapr98,9,1495,5,16,1191
Sirius_1,3,1390,2,36,1167
muthuct,8,1401,17,46,1142
Rishi99,5,1411,7,42,1140
adithya.sankar,6,1404,15,47,1127
sreeramk100,22,1372,5,39,1091
prem_s,10,1374,17,138,1015
range123,8,1443,0,9,1003
siv95tennis,6,1429,1,15,978
Vickymhs,82,1382,30,309,929
garuna,47,2131,157,394,2131
chinmay0906,54,2166,208,474,2108
meintoo,64,2001,150,392,1971
tttayushag10004,40,1965,70,204,1965
vishfrnds,65,1954,127,169,1954
pparwal12,48,1951,114,356,1951
logic_max,98,2099,155,383,1949
wittyskull,69,1987,201,339,1947
dextrous,41,1923,53,250,1923
vikky_codder,36,1916,84,197,1916
hephaestus,89,1914,80,318,1914
slayerx,47,2009,112,228,1907
abhi1agarwal,38,2001,153,522,1904
iamscrew,68,1903,98,470,1903
all_out,77,1884,78,242,1868
ekdumb,4,1860,32,29,1860
vippu95,27,1847,53,190,1847
mmaks,33,1830,80,248,1830
advitiyabrijesh,38,1825,75,412,1825
divakar_tomar,48,1915,61,298,1815
ayushji10004,17,1794,14,55,1793
mgajabi,32,1791,52,95,1791
smtcoder,28,2070,99,414,1776
yashchapani,21,1777,99,135,1767
priyanshu2501,28,1811,62,73,1764
raghav_19,15,1764,29,186,1764
astar4ru,28,1761,22,92,1759
cpg,3,1789,9,8,1752
Abhedyam,26,1937,42,265,1742
forceawakened,43,1802,76,275,1735
aaijmrt,27,1817,64,323,1729
nipun_poddar,24,1767,47,47,1720
rranjan,50,1760,48,214,1718
facelessman,23,1708,56,318,1708
the_magician,26,1702,6,120,1702
mac_7,10,1738,18,17,1675
